"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length";"Track Length";"Die Length";"Net Length";
285;"/di_8";2;1;52.25 mils;3832.53 mils;0.00 mils;3884.78 mils;
286;"/di_36";2;1;52.25 mils;3887.04 mils;0.00 mils;3939.29 mils;
287;"/rram_addr_2";2;1;52.25 mils;3884.77 mils;0.00 mils;3937.02 mils;
288;"/sa_en";2;1;9.12 mils;3928.00 mils;0.00 mils;3937.12 mils;
289;"/di_44";2;1;9.12 mils;3929.52 mils;0.00 mils;3938.64 mils;
290;"/di_43";2;1;52.25 mils;3885.10 mils;0.00 mils;3937.35 mils;
291;"/di_22";2;1;52.25 mils;3884.75 mils;0.00 mils;3937.00 mils;
292;"/rram_addr_6";2;1;9.12 mils;3918.77 mils;0.00 mils;3927.90 mils;
293;"/di_14";2;1;52.25 mils;3884.91 mils;0.00 mils;3937.16 mils;
294;"/di_4";2;1;52.25 mils;3884.74 mils;0.00 mils;3936.99 mils;
295;"/di_37";2;1;9.12 mils;3920.35 mils;0.00 mils;3929.47 mils;
296;"/di_39";2;1;9.12 mils;3889.48 mils;0.00 mils;3898.60 mils;
297;"/sa_do_13";2;1;9.12 mils;3927.87 mils;0.00 mils;3936.99 mils;
298;"/sa_do_36";2;1;52.25 mils;3891.81 mils;0.00 mils;3944.05 mils;
299;"/miso";2;0;0.00 mils;3937.11 mils;0.00 mils;3937.11 mils;
300;"/sa_do_41";2;1;9.12 mils;3927.86 mils;0.00 mils;3936.98 mils;
301;"/set_rst";2;1;52.25 mils;3832.54 mils;0.00 mils;3884.79 mils;
302;"/read_ref_5";2;1;9.12 mils;3918.72 mils;0.00 mils;3927.84 mils;
303;"/rram_addr_4";2;1;52.25 mils;3887.68 mils;0.00 mils;3939.93 mils;
304;"/rram_addr_5";2;1;9.12 mils;3927.88 mils;0.00 mils;3937.01 mils;
305;"/read_ref_4";2;1;9.12 mils;3927.03 mils;0.00 mils;3936.15 mils;
306;"/rram_addr_11";2;1;9.12 mils;3919.22 mils;0.00 mils;3928.35 mils;
307;"/read_ref_1";2;1;52.25 mils;3884.71 mils;0.00 mils;3936.95 mils;
308;"/rram_addr_15";2;1;9.12 mils;3920.29 mils;0.00 mils;3929.41 mils;
309;"/di_27";2;1;52.25 mils;3833.78 mils;0.00 mils;3886.03 mils;
310;"/di_32";2;1;9.12 mils;3918.87 mils;0.00 mils;3927.99 mils;
311;"/di_33";2;1;52.25 mils;3884.05 mils;0.00 mils;3936.30 mils;
312;"/di_35";2;2;61.37 mils;3810.98 mils;0.00 mils;3872.35 mils;
313;"/di_38";2;2;18.25 mils;3916.73 mils;0.00 mils;3934.98 mils;
314;"/di_40";2;2;61.37 mils;3813.09 mils;0.00 mils;3874.46 mils;
315;"/rram_addr_3";2;1;52.25 mils;3885.79 mils;0.00 mils;3938.03 mils;
316;"/di_46";2;2;61.37 mils;3814.44 mils;0.00 mils;3875.81 mils;
317;"/read_ref_0";2;1;52.25 mils;3834.56 mils;0.00 mils;3886.81 mils;
318;"/read_ref_3";2;2;61.37 mils;3874.85 mils;0.00 mils;3936.22 mils;
319;"/di_23";2;2;61.37 mils;3875.65 mils;0.00 mils;3937.02 mils;
320;"/rram_addr_7";2;1;9.12 mils;3918.77 mils;0.00 mils;3927.89 mils;
321;"/rram_addr_9";2;1;9.12 mils;3916.36 mils;0.00 mils;3925.48 mils;
322;"/di_26";2;1;52.25 mils;3887.59 mils;0.00 mils;3939.83 mils;
323;"/di_0";2;1;52.25 mils;3884.76 mils;0.00 mils;3937.00 mils;
324;"/we";2;1;52.25 mils;3832.83 mils;0.00 mils;3885.08 mils;
325;"/read_dac_config_2";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.89 mils;
326;"/bsl_dac_config_2";2;3;113.62 mils;3823.42 mils;0.00 mils;3937.04 mils;
327;"/sa_do_32";2;1;9.12 mils;3928.14 mils;0.00 mils;3937.27 mils;
328;"/sa_do_19";2;1;9.12 mils;3927.88 mils;0.00 mils;3937.01 mils;
329;"/sa_do_43";2;1;52.25 mils;3886.08 mils;0.00 mils;3938.33 mils;
330;"/sa_do_30";2;1;52.25 mils;3885.75 mils;0.00 mils;3938.00 mils;
331;"/wl_dac_config_3";2;1;9.12 mils;3927.90 mils;0.00 mils;3937.03 mils;
332;"/wl_dac_config_5";2;1;52.25 mils;3833.35 mils;0.00 mils;3885.60 mils;
333;"/di_25";2;3;165.86 mils;3708.25 mils;0.00 mils;3874.12 mils;
334;"/di_28";2;2;18.25 mils;3918.82 mils;0.00 mils;3937.07 mils;
335;"/di_29";2;2;61.37 mils;3875.44 mils;0.00 mils;3936.81 mils;
336;"/sa_do_42";2;1;52.25 mils;3885.72 mils;0.00 mils;3937.97 mils;
337;"/wl_dac_config_2";2;1;9.12 mils;3918.74 mils;0.00 mils;3927.86 mils;
338;"/sa_do_44";2;1;52.25 mils;3884.11 mils;0.00 mils;3936.36 mils;
339;"/di_18";2;1;9.12 mils;3918.71 mils;0.00 mils;3927.84 mils;
340;"/di_24";2;1;9.12 mils;3918.76 mils;0.00 mils;3927.88 mils;
341;"/rram_addr_10";2;1;9.12 mils;3918.79 mils;0.00 mils;3927.91 mils;
342;"/read_ref_2";2;1;9.12 mils;3918.80 mils;0.00 mils;3927.92 mils;
343;"/di_45";2;1;9.12 mils;3918.87 mils;0.00 mils;3927.99 mils;
